fever,cough,headache,fatigue,body_pain,sore_throat,breathing_difficulty,nausea,vomiting,diarrhea,abdominal_pain,chest_pain,rash,dizziness,joint_pain,runny_nose,chills,loss_of_appetite,sweating,itching,prognosis
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Jaundice
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Allergy
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Allergy
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Influenza
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Bronchial Asthma
0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Common Cold
1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,Malaria
1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Malaria
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jaundice
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Dengue
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,Jaundice
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Allergy
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Bronchial Asthma
0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,Allergy
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Pneumonia
0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Bronchial Asthma
1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,Pneumonia
1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,Dengue
1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,Pneumonia
0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,Tuberculosis
1,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,Gastroenteritis
1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,Pneumonia
